latitude,longitude,timestamp,total_wait_time,local_group_number,global_group_no
23.5642116667,87.2831533333,2:58:4.0,8022,1,1
23.55933,87.2847,7:49:30.0,226,2,2
23.555085,87.2856933333,7:53:4.0,157,3,3
23.5511716667,87.2860016667,7:57:3.0,50,4,4
23.5500283333,87.28509,8:13:53.0,56,6,5
23.547065,87.28273,8:0:2.0,29,6,6
23.5375233333,87.2967766667,8:23:9.0,236,12,7
23.53599,87.2958333333,8:24:44.0,37,13,8
23.5357616667,87.29777,5:31:58.0,2310,15,9
23.5281766667,87.3112133333,11:27:39.0,193,21,10
23.5271516667,87.3112466667,11:29:0.0,247,22,11
23.5193466667,87.3112616667,8:37:41.0,105,16,13
23.5004066667,87.3060216667,11:36:44.0,102,25,15
23.4946816667,87.3168283333,3:49:51.0,1105,25,16
23.5578933333,87.285465,8:10:5.0,28,3,18
23.5562933333,87.286425,11:1:49.0,45,5,19
23.54825,87.2836416667,3:22:53.0,170,10,22
23.5417016667,87.2899083333,5:21:12.0,23,11,24
23.5393916667,87.2930816667,8:21:2.0,72,11,25
23.5388833333,87.2947916667,11:56:13.0,21,9,26
23.5036933333,87.307795,11:34:43.0,160,24,29
23.5428866667,87.2905266667,11:38:4.0,39,7,32
