latitude,longitude,timestamp,total_wait_time,trail_number,local_group_number,global_group_no
23.5642033333,87.2830883333,107.60,1280,1,1,1
23.5641966667,87.2831216667,97.10,1228,2,1,1
23.5642116667,87.2831533333,96.00,8022,3,1,1
23.564335,87.282925,100.50,107,4,1,1
23.564225,87.2831216667,96.50,645,5,1,1
23.56422,87.2830066667,104.50,1284,6,1,1
23.5641716667,87.28304,95.50,947,7,1,1
23.56422,87.2831216667,91.10,775,8,1,1
23.55933,87.2847,88.40,226,1,2,2
23.5594183333,87.2846666667,83.90,15,2,3,2
23.5593383333,87.2847316667,90.10,18,3,2,2
23.5593083333,87.2847,92.20,17,4,5,2
23.5593583333,87.2847316667,88.60,3,5,2,2
23.5593383333,87.2846666667,86.40,52,6,2,2
23.559395,87.284635,88.00,52,7,2,2
23.555085,87.2856933333,90.30,157,1,3,3
23.5550333333,87.2857583333,83.90,10,2,6,3
23.5550733333,87.285725,90.70,15,3,5,3
23.55502,87.285725,92.40,1,4,7,3
23.555065,87.2857583333,89.50,17,5,3,3
23.5550683333,87.2856766667,84.30,10,6,5,3
23.555025,87.2857083333,87.90,11,7,4,3
23.5550616667,87.285725,85.10,5,8,3,3
23.5511716667,87.2860016667,87.30,50,1,4,4
23.551215,87.2860833333,77.10,5,2,9,4
23.551245,87.2860016667,88.40,7,3,8,4
23.5512083333,87.286035,82.40,6,5,4,4
23.5511633333,87.2859533333,80.30,2,6,7,4
23.55006,87.2851066667,86.50,8,1,5,5
23.5500433333,87.2851383333,75.50,16,2,10,5
23.55008,87.28509,86.90,8,3,9,5
23.5500483333,87.2851066667,84.70,4,4,8,5
23.5500283333,87.28509,79.80,56,7,6,5
23.5500516667,87.2851233333,77.50,1,8,4,5
23.547065,87.28273,83.10,29,1,6,6
23.5470816667,87.282795,72.00,6,2,12,6
23.5470933333,87.2827133333,84.10,5,3,11,6
23.5470616667,87.28273,77.00,6,5,6,6
23.5470616667,87.2826983333,78.30,2,6,9,6
23.5470416667,87.2827133333,77.10,2,7,8,6
23.537535,87.2967766667,93.10,22,1,7,7
23.5375683333,87.2968083333,90.20,28,2,17,7
23.5375566667,87.2967766667,97.60,25,3,18,7
23.5375066667,87.29676,97.30,21,4,13,7
23.537565,87.2967933333,92.00,33,5,10,7
23.5375283333,87.2967283333,85.60,33,6,14,7
23.5375233333,87.2967766667,92.20,236,7,12,7
23.5375966667,87.296825,89.30,22,8,10,7
23.53677,87.29624,95.90,12,1,8,8
23.5360916667,87.2958816667,92.70,5,4,14,8
23.53599,87.2958333333,88.60,37,7,13,8
23.5359983333,87.295865,85.90,8,8,11,8
23.535725,87.2977533333,91.70,302,1,9,9
23.535745,87.2978183333,84.10,304,2,18,9
23.5357583333,87.2978183333,90.80,109,3,19,9
23.5356766667,87.2975083333,92.90,283,4,15,9
23.535705,87.2975416667,85.50,300,5,11,9
23.5357616667,87.29777,83.50,2310,6,15,9
23.5357216667,87.297835,84.40,267,7,14,9
23.5357416667,87.29772,86.40,375,8,12,9
23.5281966667,87.311165,102.70,6,1,10,10
23.5281766667,87.3112133333,101.80,193,2,21,10
23.5275583333,87.3111483333,107.60,42,4,16,10
23.52821,87.311165,99.60,17,5,12,10
23.5281966667,87.3111483333,96.50,13,6,16,10
23.5282183333,87.3111966667,100.80,43,8,14,10
23.527095,87.31118,98.80,70,1,11,11
23.5271516667,87.3112466667,100.40,247,2,22,11
23.5271483333,87.3112133333,100.50,59,3,20,11
23.5272933333,87.3111483333,103.80,18,7,15,11
23.52729,87.3111966667,99.10,21,8,15,11
23.5192733333,87.3112616667,103.20,1,1,13,13
23.5192816667,87.311295,105.20,4,2,23,13
23.5193033333,87.3112616667,105.40,1,3,21,13
23.51938,87.311295,101.20,19,5,13,13
23.5193466667,87.3112616667,107.40,105,7,16,13
23.51942,87.311295,106.30,8,8,16,13
23.5002716667,87.306005,84.20,8,1,15,15
23.5004066667,87.3060216667,85.10,102,2,25,15
23.50028,87.3059883333,87.20,10,3,23,15
23.50032,87.3059716667,80.20,16,5,15,15
23.5002916667,87.3059883333,80.80,9,6,20,15
23.500345,87.3059716667,86.50,3,7,19,15
23.5003416667,87.3059716667,82.50,15,8,18,15
23.4946816667,87.316845,71.10,1,1,16,16
23.4947666667,87.3168933333,70.60,202,2,26,16
23.4946816667,87.3168283333,73.00,1105,3,25,16
23.494755,87.3168766667,73.90,278,4,18,16
23.4946966667,87.316845,66.20,1,6,21,16
23.4947616667,87.3168766667,67.50,251,8,20,16
23.5579783333,87.2854816667,87.00,8,2,4,18
23.55804,87.285465,92.00,6,3,3,18
23.5579216667,87.285465,90.00,1,6,3,18
23.5578933333,87.285465,91.00,28,7,3,18
23.5562933333,87.286425,85.20,45,2,5,19
23.55603,87.2863433333,90.60,17,3,4,19
23.555985,87.2863266667,92.90,3,4,6,19
23.5560216667,87.286295,87.80,2,6,4,19
23.5482366667,87.2837066667,75.20,11,2,11,22
23.54825,87.2836416667,83.30,170,3,10,22
23.5482333333,87.283675,81.20,5,4,9,22
23.5482366667,87.283675,76.20,7,5,5,22
23.5482216667,87.28361,77.00,8,6,8,22
23.5481716667,87.283625,75.00,14,7,7,22
23.5482,87.2836583333,75.70,8,8,5,22
23.54169,87.289925,83.50,7,2,14,24
23.5416533333,87.2900216667,90.40,3,3,16,24
23.5417016667,87.2899083333,77.90,23,6,11,24
23.5417633333,87.2899083333,82.50,6,8,8,24
23.539285,87.2930816667,87.20,10,2,15,25
23.539375,87.2930983333,88.30,12,3,17,25
23.5392766667,87.2930816667,91.40,9,4,11,25
23.539135,87.2933416667,87.20,5,5,8,25
23.5395416667,87.293,78.80,19,6,12,25
23.5393916667,87.2930816667,81.90,72,7,11,25
23.53909,87.2943516667,91.10,2,2,16,26
23.5389966667,87.29453,91.20,4,4,12,26
23.5388833333,87.2947916667,88.50,21,5,9,26
23.5390333333,87.2945133333,80.60,6,6,13,26
23.5036933333,87.307795,84.10,160,2,24,29
23.5036083333,87.3076983333,90.20,9,3,22,29
23.503645,87.3077633333,91.70,12,4,17,29
23.503625,87.3076983333,80.80,26,5,14,29
23.50384,87.307845,85.00,34,6,19,29
23.50362,87.3077133333,88.60,14,7,18,29
23.5037183333,87.3077783333,84.50,10,8,17,29
23.5430933333,87.2904933333,86.90,5,3,15,32
23.5430283333,87.2904783333,90.80,3,4,10,32
23.54298,87.2904933333,86.00,5,7,10,32
23.5428866667,87.2905266667,85.50,39,8,7,32
