latitude, longitude, time-stamp, count, trail_number, local_group_number
23.5641966667,87.2831216667,97.10,1228,2,1
23.5606033333,87.2840316667,84.50,19,2,2
23.5594183333,87.2846666667,83.90,15,2,3
23.5579783333,87.2854816667,87.00,8,2,4
23.5562933333,87.286425,85.20,23,2,5
23.5550333333,87.2857583333,83.90,10,2,6
23.55397,87.28636,84.60,3,2,7
23.5524616667,87.2870766667,78.50,13,2,8
23.551215,87.2860833333,77.10,5,2,9
23.5500433333,87.2851383333,75.50,16,2,10
23.5482366667,87.2837066667,75.20,11,2,11
23.5470816667,87.282795,72.00,6,2,12
23.5445016667,87.28286,71.20,2,2,13
23.54169,87.289925,83.50,7,2,14
23.539285,87.2930816667,87.20,10,2,15
23.53909,87.2943516667,91.10,2,2,16
23.5375683333,87.2968083333,90.20,28,2,17
23.535745,87.2978183333,84.10,304,2,18
23.5344066667,87.3009916667,89.20,2,2,19
23.5333766667,87.3065416667,99.90,13,2,20
23.5281766667,87.3112133333,101.80,72,2,21
23.5271516667,87.3112466667,100.40,79,2,22
23.5192816667,87.311295,105.20,4,2,23
23.5036933333,87.307795,84.10,55,2,24
23.5004066667,87.3060216667,85.10,41,2,25
23.4947666667,87.3168933333,70.60,202,2,26
