latitude, longitude, time-stamp,trail_number
23.5641966667,87.2831216667,97.10,609,2
23.5642,87.2831216667,96.50,53,2
23.5641966667,87.2831216667,96.40,2,2
23.5641966667,87.2831216667,96.40,120,2
23.5642,87.2831216667,96.00,1,2
23.5641966667,87.2831216667,95.50,440,2
23.5641266667,87.2833,93.30,1,2
23.5641233333,87.2833,93.00,1,2
23.5640733333,87.2835116667,91.80,1,2
23.5605983333,87.2840316667,84.40,2,2
23.5606033333,87.2840316667,84.50,17,2
23.5594183333,87.2846666667,83.90,12,2
23.55941,87.2846833333,83.80,1,2
23.5594033333,87.2846833333,83.90,1,2
23.559395,87.2846833333,83.90,1,2
23.5579783333,87.2854816667,87.00,7,2
23.55797,87.2854966667,87.00,1,2
23.5562933333,87.286425,85.20,23,2
23.5555733333,87.28553,85.20,4,2
23.5550366667,87.2857583333,83.70,2,2
23.5550333333,87.2857583333,83.90,4,2
23.55397,87.28636,84.60,3,2
23.5524616667,87.2870766667,78.50,13,2
23.551215,87.2861,76.60,1,2
23.551215,87.2860833333,77.10,4,2
23.5500483333,87.285155,74.30,2,2
23.5500433333,87.2851383333,75.50,14,2
23.5482283333,87.28369,75.60,1,2
23.5482366667,87.2837066667,75.20,10,2
23.5470816667,87.282795,72.00,6,2
23.5445016667,87.28286,71.20,1,2
23.5445016667,87.28286,70.80,1,2
23.54169,87.289925,83.00,1,2
23.54169,87.289925,83.50,6,2
23.539285,87.2930816667,87.20,10,2
23.53909,87.2943516667,91.10,1,2
23.5390366667,87.2945633333,90.10,1,2
23.537565,87.296825,89.20,1,2
23.5375683333,87.2968083333,90.20,17,2
23.537565,87.2968083333,90.10,1,2
23.537535,87.2967933333,90.00,1,2
23.537535,87.2967766667,90.00,3,2
23.53754,87.2967766667,89.90,5,2
23.5357283333,87.2976883333,81.70,58,2
23.53575,87.2978016667,84.20,107,2
23.53575,87.2978183333,84.30,5,2
23.535745,87.2978183333,84.10,104,2
23.5357416667,87.297835,84.20,1,2
23.5357366667,87.297835,84.30,1,2
23.5357416667,87.297835,84.30,13,2
23.5357366667,87.29785,84.20,6,2
23.5357333333,87.29785,84.30,1,2
23.535355,87.29873,87.90,8,2
23.5344066667,87.3009916667,89.20,2,2
23.5333816667,87.3065266667,99.70,1,2
23.5333766667,87.3065416667,99.90,12,2
23.52821,87.3112133333,102.20,1,2
23.5282133333,87.3112133333,102.00,11,2
23.528205,87.3112133333,102.00,1,2
23.5281966667,87.3112133333,101.90,1,2
23.52819,87.3112133333,101.80,1,2
23.528185,87.3112133333,101.80,1,2
23.5281766667,87.3112133333,101.80,56,2
23.5271516667,87.3112466667,100.40,79,2
23.5192816667,87.311295,105.20,4,2
23.5036933333,87.307795,84.10,55,2
23.50041,87.3060216667,84.80,1,2
23.5004066667,87.3060216667,85.10,29,2
23.5003983333,87.3060216667,85.10,1,2
23.5003933333,87.3060216667,85.10,1,2
23.500385,87.3060216667,85.10,9,2
23.49477,87.3168933333,70.20,1,2
23.4947666667,87.3168933333,70.60,199,2
23.4947583333,87.3168933333,70.50,1,2
23.49471,87.3168766667,70.60,1,2
