latitude, longitude, time-stamp, count, trail_number
23.56424,87.2829583333,101.40,81,6,1
23.564245,87.2829583333,101.50,5,6,1
23.564245,87.282975,101.50,80,6,1
23.564245,87.2829583333,101.80,120,6,1
23.564245,87.282975,102.10,3,6,1
23.56424,87.282975,102.10,12,6,1
23.56424,87.28299,102.20,1,6,1
23.5642366667,87.28299,102.30,7,6,1
23.5642333333,87.2830066667,101.80,1,6,1
23.5642283333,87.2830066667,102.70,2,6,1
23.564225,87.2830066667,103.30,205,6,1
23.56422,87.2830066667,104.50,379,6,1
23.5642166667,87.2830066667,105.40,245,6,1
23.5642116667,87.2830066667,105.90,14,6,1
23.5642116667,87.2830233333,105.90,89,6,1
23.5642033333,87.28304,105.90,1,6,1
23.5641966667,87.2830716667,104.10,1,6,1
23.5641916667,87.2830883333,104.00,1,6,1
23.5641833333,87.2831216667,103.10,1,6,1
23.564175,87.2831533333,101.30,1,6,1
23.5638183333,87.283755,89.40,1,6,1
23.5638216667,87.283755,89.60,34,6,1
23.5593383333,87.2846666667,86.40,40,6,2
23.55933,87.2846833333,86.90,10,6,2
23.559325,87.2846833333,86.90,1,6,2
23.5593166667,87.2846833333,86.90,1,6,2
23.5579216667,87.285465,90.00,1,6,3
23.5560216667,87.286295,87.80,2,6,4
23.5550683333,87.2856766667,84.30,10,6,5
23.5524616667,87.286995,78.20,2,6,6
23.5524566667,87.286995,78.40,7,6,6
23.5511633333,87.2859533333,80.30,1,6,7
23.550675,87.2855783333,80.40,1,6,7
23.5482133333,87.28361,76.60,1,6,8
23.5482216667,87.28361,77.00,7,6,8
23.5470616667,87.2826983333,78.30,1,6,9
23.5470566667,87.2826983333,78.40,1,6,9
23.545315,87.2812816667,75.70,1,6,10
23.5417016667,87.2899083333,77.90,7,6,11
23.5395416667,87.293,78.80,19,6,12
23.5390333333,87.2945133333,80.60,6,6,13
23.5375316667,87.2967433333,85.10,1,6,14
23.5375283333,87.2967283333,85.60,32,6,14
23.5353866667,87.29707,83.00,1,6,15
23.5353866667,87.297085,83.40,2,6,15
23.5353866667,87.2971016667,83.50,5,6,15
23.5356483333,87.2974116667,79.00,86,6,15
23.5356516667,87.2974116667,78.70,2,6,15
23.5357,87.2975083333,79.40,1,6,15
23.535705,87.297525,78.90,1,6,15
23.5356933333,87.2975416667,79.10,1,6,15
23.5356933333,87.2975583333,79.10,5,6,15
23.5356933333,87.2975416667,79.00,3,6,15
23.5356933333,87.2975583333,79.10,86,6,15
23.5357216667,87.297655,80.10,4,6,15
23.53575,87.2977366667,81.30,1,6,15
23.53575,87.2977533333,81.80,1,6,15
23.5357533333,87.2977533333,82.40,8,6,15
23.5357533333,87.29777,82.60,1,6,15
23.5357583333,87.29777,82.70,57,6,15
23.5357616667,87.29777,83.50,82,6,15
23.53577,87.2978666667,83.00,1,6,15
23.535765,87.2978666667,83.50,1,6,15
23.5357616667,87.2978833333,83.90,3,6,15
23.5357583333,87.2978833333,84.10,3,6,15
23.5357616667,87.2978833333,84.10,2,6,15
23.5357583333,87.2978833333,84.10,3,6,15
23.5357616667,87.2978833333,84.10,4,6,15
23.5355466667,87.2982733333,85.50,5,6,15
23.5355466667,87.29829,85.60,1,6,15
23.5281933333,87.3111483333,96.00,1,6,16
23.5281966667,87.3111483333,96.50,12,6,16
23.51081,87.3106766667,90.00,2,6,17
23.507145,87.3098466667,85.10,3,6,18
23.5038366667,87.307845,84.80,1,6,19
23.50384,87.307845,85.00,32,6,19
23.5038316667,87.307845,85.10,1,6,19
23.5002883333,87.3059883333,80.70,1,6,20
23.5002916667,87.3059883333,80.80,4,6,20
23.5000966667,87.3061516667,79.50,1,6,20
23.5000933333,87.3061516667,79.80,3,6,20
23.4946966667,87.316845,66.20,1,6,21
