latitude, longitude, time-stamp, count, trail_number, local_group_number
23.564265,87.2829583333,88.00,16,8,1
23.5642616667,87.2829583333,88.10,108,8,1
23.564265,87.2829583333,88.30,3,8,1
23.564265,87.2829416667,88.50,1,8,1
23.5642616667,87.2829583333,88.70,2,8,1
23.56424,87.2829583333,89.10,2,8,1
23.5642033333,87.28304,88.80,1,8,1
23.5642083333,87.2830716667,88.80,1,8,1
23.5642083333,87.2830883333,88.40,2,8,1
23.5642166667,87.283105,88.40,1,8,1
23.56422,87.2831216667,88.50,2,8,1
23.5642116667,87.2831533333,88.30,2,8,1
23.5642083333,87.2831533333,88.60,2,8,1
23.5642116667,87.2831533333,88.60,8,8,1
23.5642116667,87.2831366667,88.50,3,8,1
23.56422,87.2831366667,89.70,2,8,1
23.564225,87.2831216667,90.50,121,8,1
23.56422,87.2831216667,91.10,199,8,1
23.564225,87.2831216667,91.10,33,8,1
23.56422,87.2831216667,91.10,261,8,1
23.5642116667,87.2831366667,92.10,1,8,1
23.5637366667,87.2837883333,89.50,2,8,1
23.56374,87.2837883333,89.70,2,8,1
23.5612616667,87.2836583333,86.00,3,8,2
23.5550616667,87.285725,85.10,5,8,3
23.5500516667,87.2851233333,77.50,1,8,4
23.548205,87.2836416667,75.70,1,8,5
23.5482,87.2836583333,75.70,5,8,5
23.5481966667,87.2836416667,75.60,1,8,5
23.5481933333,87.2836416667,75.60,1,8,5
23.543705,87.284585,79.60,3,8,6
23.5437,87.284585,79.60,2,8,6
23.543065,87.2904933333,84.00,1,8,7
23.54289,87.2905433333,85.10,1,8,7
23.5428866667,87.2905266667,85.50,24,8,7
23.5417633333,87.2899083333,82.50,6,8,8
23.5408033333,87.2922683333,83.90,6,8,9
23.5376016667,87.296825,89.80,1,8,10
23.5375933333,87.296825,89.60,1,8,10
23.5375966667,87.296825,89.30,20,8,10
23.5360133333,87.295865,85.30,1,8,11
23.5359983333,87.295865,85.90,5,8,11
23.53599,87.295865,85.80,1,8,11
23.535985,87.2958816667,85.80,1,8,11
23.5356766667,87.2974766667,86.10,30,8,12
23.53568,87.2974766667,86.60,9,8,12
23.5357083333,87.29759,85.90,1,8,12
23.5357083333,87.2976066667,85.60,24,8,12
23.5357216667,87.2976383333,86.10,2,8,12
23.5357216667,87.297655,86.10,9,8,12
23.535725,87.297655,86.30,2,8,12
23.5357283333,87.297655,86.40,1,8,12
23.535745,87.29772,85.90,1,8,12
23.5357416667,87.29772,86.40,108,8,12
23.535745,87.29772,86.20,86,8,12
23.5357416667,87.29772,86.60,10,8,12
23.535745,87.29772,86.60,65,8,12
23.535745,87.2977366667,86.60,7,8,12
23.53575,87.2977533333,86.70,1,8,12
23.5355416667,87.2985183333,88.20,1,8,12
23.5355383333,87.298535,88.70,2,8,12
23.5355383333,87.29855,88.70,1,8,12
23.5355416667,87.29855,89.10,3,8,12
23.5355416667,87.2985666667,89.10,7,8,12
23.5355466667,87.2985666667,89.20,2,8,12
23.5355416667,87.2985666667,89.20,2,8,12
23.5355183333,87.2986,88.80,1,8,12
23.5333766667,87.3065583333,97.80,6,8,13
23.5282183333,87.3111966667,100.80,43,8,14
23.5272933333,87.31118,99.10,2,8,15
23.5272933333,87.3111966667,99.10,4,8,15
23.52729,87.3111966667,99.10,15,8,15
23.51942,87.311295,106.30,8,8,16
23.5037183333,87.3077783333,84.50,10,8,17
23.5003416667,87.3059716667,82.50,15,8,18
23.4964266667,87.3137516667,68.50,2,8,19
23.4947616667,87.3168766667,67.50,251,8,20
