latitude,longitude,timestamp,total_wait_time,trail_number,local_group_number,global_group_no
23.5642116667,87.2831533333,96.00,8022,3,1,1
23.55933,87.2847,88.40,226,1,2,2
23.555085,87.2856933333,90.30,157,1,3,3
23.5511716667,87.2860016667,87.30,50,1,4,4
23.5500283333,87.28509,79.80,56,7,6,5
23.547065,87.28273,83.10,29,1,6,6
23.5375233333,87.2967766667,92.20,236,7,12,7
23.53599,87.2958333333,88.60,37,7,13,8
23.5357616667,87.29777,83.50,2310,6,15,9
23.5281766667,87.3112133333,101.80,193,2,21,10
23.5271516667,87.3112466667,100.40,247,2,22,11
23.5193466667,87.3112616667,107.40,105,7,16,13
23.5004066667,87.3060216667,85.10,102,2,25,15
23.4946816667,87.3168283333,73.00,1105,3,25,16
23.5578933333,87.285465,91.00,28,7,3,18
23.5562933333,87.286425,85.20,45,2,5,19
23.54825,87.2836416667,83.30,170,3,10,22
23.5417016667,87.2899083333,77.90,23,6,11,24
23.5393916667,87.2930816667,81.90,72,7,11,25
23.5388833333,87.2947916667,88.50,21,5,9,26
23.5036933333,87.307795,84.10,160,2,24,29
23.5428866667,87.2905266667,85.50,39,8,7,32
